feature_idx,feature_name,male_imp_mean,male_imp_std,female_imp_mean,female_imp_std,abs_difference,p_raw,q_fdr,significant
200,AVL_Q_amp,-0.000212,0.000406,0.000616,0.001322,0.000828,0.002776,0.009770,True
225,V1_P_amp,0.003995,0.003351,0.003188,0.004091,0.000806,0.415083,0.703617,False
185,DIII_P_amp,0.001852,0.002674,0.001051,0.002245,0.000801,0.221759,0.447972,False
181,DIII_R_amp,0.000106,0.001818,-0.000670,0.001463,0.000776,0.078767,0.187156,False
40,DIII_R_wid,0.001746,0.003468,0.000978,0.001639,0.000768,0.287317,0.543447,False
193,AVR_Rp_amp,0.000767,0.000724,0.000000,0.000000,0.000767,0.000004,0.000024,True
277,V6_QRSA,0.001508,0.001183,0.000743,0.003433,0.000765,0.264001,0.508010,False
186,DIII_T_amp,0.001164,0.002701,0.001920,0.001892,0.000756,0.222374,0.447972,False
250,V4_Q_amp,0.000106,0.000270,-0.000634,0.000423,0.000740,0.000000,0.000000,True
172,DII_S_amp,0.000106,0.002214,-0.000634,0.003455,0.000740,0.336264,0.595422,False
267,V5_QRSA,0.001640,0.001327,0.002373,0.002321,0.000733,0.146584,0.320181,False
42,DIII_Rp_wid,0.000000,0.000000,-0.000725,0.000902,0.000725,0.000164,0.000787,True
190,AVR_Q_amp,0.000423,0.000532,-0.000254,0.002393,0.000677,0.146790,0.320181,False
68,AVL_N_defl,-0.000688,0.001783,-0.000018,0.003590,0.000670,0.373336,0.644643,False
201,AVL_R_amp,0.000529,0.001333,0.001196,0.003223,0.000667,0.309767,0.577955,False
219,V1_JJ_amp,0.000370,0.003458,0.001033,0.002619,0.000662,0.414606,0.703617,False
170,DII_Q_amp,-0.001270,0.003635,-0.000616,0.001163,0.000654,0.362495,0.629836,False
210,AVF_Q_amp,-0.001085,0.002074,-0.000453,0.002044,0.000632,0.247461,0.487902,False
268,V5_QRSTA,-0.003704,0.004519,-0.003116,0.002893,0.000588,0.557946,0.923267,False
240,V3_Q_amp,0.000529,0.002103,0.000000,0.000000,0.000529,0.185947,0.388671,False
223,V1_Rp_amp,0.006376,0.003243,0.006902,0.008328,0.000527,0.752807,1.000000,False
192,AVR_S_amp,0.000503,0.000522,-0.000018,0.000098,0.000521,0.000010,0.000059,True
148,V6_R_wid,-0.000529,0.000659,-0.000018,0.002547,0.000511,0.303234,0.569588,False
10,T_angle,0.000608,0.003179,0.000109,0.002585,0.000500,0.514005,0.855649,False
8,P_int,0.001746,0.000855,0.001250,0.002557,0.000496,0.328593,0.585570,False
199,AVL_JJ_amp,0.001032,0.005237,0.001504,0.002540,0.000472,0.664660,1.000000,False
63,AVL_Q_wid,0.000265,0.000748,-0.000145,0.000951,0.000409,0.073863,0.177017,False
161,DI_R_amp,0.000265,0.001091,-0.000145,0.002629,0.000409,0.443172,0.746677,False
111,V3_Q_wid,0.000397,0.001401,0.000000,0.000000,0.000397,0.138045,0.309487,False
20,DI_N_defl,0.000476,0.001077,0.000870,0.001541,0.000393,0.264969,0.508010,False
123,V4_Q_wid,-0.000344,0.000443,0.000036,0.000542,0.000380,0.005008,0.016003,True
198,AVR_QRSTA,-0.004788,0.005047,-0.005145,0.008784,0.000357,0.850499,1.000000,False
183,DIII_Rp_amp,0.000000,0.000000,-0.000344,0.000787,0.000344,0.025550,0.068298,False
15,DI_Q_wid,0.000529,0.000516,0.000217,0.001870,0.000312,0.393041,0.674477,False
242,V3_S_amp,-0.000582,0.004563,-0.000308,0.003387,0.000274,0.796117,1.000000,False
135,V5_Q_wid,-0.000212,0.000678,0.000036,0.000505,0.000248,0.120003,0.273449,False
54,AVR_Rp_wid,0.000026,0.000142,0.000217,0.000667,0.000191,0.141643,0.315015,False
180,DIII_Q_amp,0.004471,0.005451,0.004656,0.001476,0.000185,0.861108,1.000000,False
48,DIII_Diph_P,-0.000053,0.000198,0.000127,0.000304,0.000180,0.010217,0.031558,True
99,V2_Q_wid,-0.000317,0.001621,-0.000489,0.001242,0.000172,0.652615,1.000000,False
53,AVR_S_wid,0.000159,0.000378,0.000000,0.000000,0.000159,0.031352,0.082224,False
270,V6_Q_amp,0.000503,0.000724,0.000344,0.000977,0.000158,0.485959,0.813835,False
104,V2_N_defl,-0.001217,0.002474,-0.001069,0.002216,0.000148,0.811109,1.000000,False
197,AVR_QRSA,0.000688,0.002334,0.000815,0.002240,0.000127,0.832800,1.000000,False
263,V5_Rp_amp,0.000000,0.000000,0.000109,0.000259,0.000109,0.031352,0.082224,False
9,QRS_angle,0.002487,0.003440,0.002391,0.001579,0.000095,0.892616,1.000000,False
173,DII_Rp_amp,-0.000026,0.000142,0.000054,0.000293,0.000081,0.188480,0.391025,False
147,V6_Q_wid,0.000291,0.000382,0.000362,0.000617,0.000071,0.599204,0.979874,False
4,QRS_dur,0.002513,0.009368,0.002446,0.002695,0.000068,0.970442,1.000000,False
30,DII_Rp_wid,0.000000,0.000000,0.000054,0.000293,0.000054,0.325582,0.583947,False
66,AVL_Rp_wid,-0.000053,0.000198,0.000000,0.000000,0.000053,0.160788,0.343587,False
110,V2_Diph_T,0.000053,0.000198,0.000000,0.000000,0.000053,0.160788,0.343587,False
243,V3_Rp_amp,0.000000,0.000000,0.000036,0.000941,0.000036,0.837125,1.000000,False
128,V4_N_defl,0.000582,0.000577,0.000616,0.001866,0.000034,0.925989,1.000000,False
46,DIII_Diph_R,-0.000026,0.000250,0.000000,0.000000,0.000026,0.572515,0.941770,False
203,AVL_Rp_amp,-0.000026,0.000142,0.000000,0.000000,0.000026,0.325582,0.583947,False
94,V1_Diph_R,0.000026,0.000142,0.000000,0.000000,0.000026,0.325582,0.583947,False
253,V4_Rp_amp,0.000026,0.000142,0.000000,0.000000,0.000026,0.325582,0.583947,False
138,V5_Rp_wid,0.000000,0.000000,0.000018,0.000098,0.000018,0.325582,0.583947,False
78,AVF_Rp_wid,-0.000000,0.000000,0.000000,0.000000,0.000000,0.043397,0.108689,False
49,DIII_Rag_T,0.000000,0.000000,0.000000,0.000281,0.000000,1.000000,1.000000,False
126,V4_Rp_wid,-0.000000,0.000000,0.000000,0.000000,0.000000,0.325582,0.583947,False
70,AVL_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
72,AVL_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
86,AVF_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
83,AVF_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
73,AVL_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
85,AVF_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
69,AVL_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
264,V5_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
273,V6_Rp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
18,DI_Rp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
19,DI_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
274,V6_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
84,AVF_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
121,V3_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
122,V3_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
106,V2_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
107,V2_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
108,V2_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
109,V2_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
81,AVF_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
79,AVF_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
71,AVL_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
74,AVL_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
97,V1_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
96,V1_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
95,V1_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
93,V1_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
91,V1_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
98,V1_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
103,V2_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
105,V2_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
139,V5_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
132,V4_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
133,V4_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
134,V4_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
131,V4_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
127,V4_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
129,V4_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
130,V4_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
114,V3_Rp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
115,V3_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
117,V3_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
118,V3_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
119,V3_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
120,V3_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
141,V5_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
142,V5_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
158,V6_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
157,V6_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
156,V6_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
155,V6_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
154,V6_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
60,AVR_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
61,AVR_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
62,AVR_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
59,AVR_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
55,AVR_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
57,AVR_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
58,AVR_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
144,V5_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
143,V5_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
146,V5_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
145,V5_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
204,AVL_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
194,AVR_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
174,DII_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
184,DIII_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
67,AVL_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
153,V6_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
151,V6_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
164,DI_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
163,DI_Rp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
150,V6_Rp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
37,DII_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
38,DII_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
45,DIII_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
43,DIII_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
47,DIII_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
50,DIII_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
234,V2_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
224,V1_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
214,AVF_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
213,AVF_Rp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
23,DI_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
244,V3_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
21,DI_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
22,DI_Diph_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
31,DII_Sp_wid,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
24,DI_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
25,DI_Rag_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
26,DI_Diph_T,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
36,DII_Diph_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
35,DII_Rag_P,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
33,DII_Rag_R,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
254,V4_Sp_amp,0.000000,0.000000,0.000000,0.000000,0.000000,,,False
