feature_idx,feature_name,importance_male,importance_female,delta,p_value,q_value_bh,significant
208,AVL_QRSTA,-0.011764705882352965,0.0,-0.011764705882352965,1.1389159551596365e-05,0.00010553954517812632,True
92,V1_N_defl,0.0,0.011640211640211595,-0.011640211640211595,1.66934778275552e-08,2.729874609447262e-07,True
166,DI_T_amp,0.0,-0.01111111111111115,0.01111111111111115,4.538212160419292e-09,8.410819870643755e-08,True
147,V6_Q_wid,-0.011111111111111134,0.0,-0.011111111111111134,1.0329918609443573e-06,1.1965489055938805e-05,True
16,DI_R_wid,-0.011111111111111134,-0.0010582010582010617,-0.010052910052910072,7.86219348057179e-06,8.406499183072913e-05,True
88,V1_R_wid,0.005228758169934625,-0.004761904761904778,0.009990662931839403,0.002593938643993013,0.014422298860601153,True
209,AVF_JJ_amp,-0.009803921568627472,0.0,-0.009803921568627472,8.699475448390472e-06,8.637336338044842e-05,True
271,V6_R_amp,-0.0019607843137254945,-0.01164021164021168,0.009679427326486186,4.7343042524632563e-07,6.580682910923926e-06,True
252,V4_S_amp,-0.0013071895424836629,-0.010582010582010604,0.009274821039526942,0.00018683888137633754,0.0013318258723749189,True
269,V6_JJ_amp,-0.00915032679738564,0.0,-0.00915032679738564,2.286408229538148e-05,0.00020503918961664683,True
3,Weight,0.0,-0.008994708994709026,0.008994708994709026,1.0329918609443551e-06,1.1965489055938805e-05,True
275,V6_P_amp,0.0,-0.008994708994709026,0.008994708994709026,1.0329918609443551e-06,1.1965489055938805e-05,True
267,V5_QRSA,0.005228758169934637,-0.0037037037037037164,0.008932461873638354,5.306336004794828e-05,0.0004470186088887764,True
232,V2_S_amp,0.006535947712418289,-0.0021164021164021235,0.008652349828820412,0.0049430977037729015,0.02369277864911839,True
226,V1_T_amp,-0.0019607843137254945,-0.010052910052910084,0.00809212573918459,0.0001235016676093759,0.0009537073220946251,True
187,DIII_QRSA,0.0,-0.007936507936507964,0.007936507936507964,8.699475448390489e-06,8.637336338044842e-05,True
140,V5_N_defl,0.0,-0.00793650793650796,0.00793650793650796,4.611792502691594e-05,0.00040064947367133224,True
11,P_angle,-0.007843137254901978,0.0,-0.007843137254901978,0.00013493282770603133,0.0009871401605862293,True
6,QT_int,-0.0019607843137254945,-0.009523809523809556,0.007563025210084061,0.00010847526998511718,0.0008672305921787428,True
167,DI_QRSA,0.0,0.007407407407407377,-0.007407407407407377,0.00010918370764840286,0.0008672305921787428,True
