variant,seed,10fold_cv,9010_multi,9010_binary,6040_multi
10b_laplace_10,34,27.7,34.8,50.0,30.9
10b_laplace_10,55,26.8,41.3,52.2,22.7
10b_laplace_10,69,27.7,21.7,45.7,33.7
10b_laplace_10,76,26.9,15.2,26.1,26.9
10c_laplace_20,13,26.5,30.4,45.7,23.8
10c_laplace_20,34,27.0,34.8,50.0,29.8
10c_laplace_20,55,26.5,41.3,52.2,22.1
10c_laplace_20,69,26.8,21.7,45.7,34.3
10c_laplace_20,76,26.5,15.2,26.1,26.5
11_class_thresholds,13,54.2,56.5,56.5,56.9
11_class_thresholds,34,54.2,56.5,56.5,53.6
11_class_thresholds,55,54.2,47.8,47.8,54.7
11_class_thresholds,69,54.2,54.3,54.3,53.6
11_class_thresholds,76,54.2,76.1,76.1,55.8
99_final,13,86.8,81.0,85.7,80.8
99_final,34,84.6,90.5,90.5,80.8
99_final,55,84.6,88.1,88.1,77.8
99_final,69,84.9,81.0,83.3,78.4
99_final,76,84.4,92.9,97.6,86.2
