feature_idx,feature_name,male_max_r,male_mean_r,male_n_diseases,female_max_r,female_mean_r,female_n_diseases,abs_diff_max_r,abs_diff_mean_r,male_only,female_only,significant
251,V4_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
176,DII_T_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
177,DII_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
252,V4_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
253,V4_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
180,DIII_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
254,V4_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
182,DIII_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
183,DIII_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
184,DIII_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
255,V4_P_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
186,DIII_T_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
187,DIII_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
188,DIII_QRSTA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
257,V4_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
190,AVR_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
191,AVR_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
261,V5_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
4,QRS_dur,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
194,AVR_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
195,AVR_P_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
23,DI_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
25,DI_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
26,DI_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
28,DII_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
200,AVL_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
201,AVL_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
202,AVL_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
203,AVL_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
204,AVL_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
30,DII_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
31,DII_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
33,DII_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
208,AVL_QRSTA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
209,AVF_JJ_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
35,DII_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
36,DII_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
212,AVF_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
213,AVF_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
214,AVF_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
37,DII_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
38,DII_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
217,AVF_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
218,AVF_QRSTA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
39,DIII_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
40,DIII_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
221,V1_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
222,V1_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
